phase,client_observed_ms,server_internal_ms,socket_transfer_overhead_ms,status,decision,reason_code
warmup,4.155,2.000,2.155,200,ALLOW,OK_ALLOW
warmup,4.375,2.000,2.375,200,ALLOW,OK_ALLOW
warmup,4.760,2.000,2.760,200,ALLOW,OK_ALLOW
warmup,4.679,2.000,2.679,200,ALLOW,OK_ALLOW
warmup,3.800,2.000,1.800,200,ALLOW,OK_ALLOW
warmup,3.785,2.000,1.785,200,ALLOW,OK_ALLOW
warmup,3.744,1.000,2.744,200,ALLOW,OK_ALLOW
warmup,3.372,1.000,2.372,200,ALLOW,OK_ALLOW
warmup,3.223,1.000,2.223,200,ALLOW,OK_ALLOW
warmup,2.891,1.000,1.891,200,ALLOW,OK_ALLOW
warmup,2.904,1.000,1.904,200,ALLOW,OK_ALLOW
warmup,3.103,1.000,2.103,200,ALLOW,OK_ALLOW
warmup,3.287,2.000,1.287,200,ALLOW,OK_ALLOW
warmup,3.505,1.000,2.505,200,ALLOW,OK_ALLOW
warmup,3.653,1.000,2.653,200,ALLOW,OK_ALLOW
warmup,3.858,1.000,2.858,200,ALLOW,OK_ALLOW
warmup,4.058,2.000,2.058,200,ALLOW,OK_ALLOW
warmup,3.907,2.000,1.907,200,ALLOW,OK_ALLOW
warmup,4.287,2.000,2.287,200,ALLOW,OK_ALLOW
warmup,4.276,2.000,2.276,200,ALLOW,OK_ALLOW
warmup,4.546,2.000,2.546,200,ALLOW,OK_ALLOW
warmup,4.469,1.000,3.469,200,ALLOW,OK_ALLOW
warmup,4.485,2.000,2.485,200,ALLOW,OK_ALLOW
warmup,4.460,2.000,2.460,200,ALLOW,OK_ALLOW
warmup,4.232,2.000,2.232,200,ALLOW,OK_ALLOW
warmup,4.445,2.000,2.445,200,ALLOW,OK_ALLOW
warmup,4.225,2.000,2.225,200,ALLOW,OK_ALLOW
warmup,4.121,2.000,2.121,200,ALLOW,OK_ALLOW
warmup,4.069,2.000,2.069,200,ALLOW,OK_ALLOW
warmup,4.201,1.000,3.201,200,ALLOW,OK_ALLOW
warmup,4.050,2.000,2.050,200,ALLOW,OK_ALLOW
warmup,5.342,3.000,2.342,200,ALLOW,OK_ALLOW
warmup,5.594,2.000,3.594,200,ALLOW,OK_ALLOW
warmup,5.629,2.000,3.629,200,ALLOW,OK_ALLOW
